commentID,avgparseht,avgNPsent,avgVPsent,avgSUBsent,avgcosine,avgwordover,avgNNPRPover,avgPRPsent,avgDefSent
505522,13.5556,9.8889,5.5556,1.0000,0.2932,0.1040,0.0136,1.0000,2.4444
381311,10.5000,6.1667,3.0000,0.5000,0.0741,0.0364,0.0444,0.6667,1.5000
429380,11.0000,5.0000,4.0000,1.0000,�,�,�,1.0000,1.0000
458848,9.5000,5.5000,2.0000,0.5000,0.3413,0.1667,0.1250,1.0000,2.0000
400660,12.7143,8.7143,6.1429,0.8571,0.1955,0.0756,0.0088,1.5714,0.7143
495057,10.6471,5.0588,3.2353,0.9412,0.1127,0.0601,0.0449,1.3529,0.7059
366011,10.2857,4.2857,4.2857,1.0000,0.0604,0.0476,0.0417,1.2857,0.7143
280087,6.0000,2.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
284209,10.0000,4.3333,3.0000,0.3333,0.1510,0.0833,0.1250,1.3333,1.0000
52601,15.6667,12.6667,3.8889,2.0000,0.4168,0.2026,0.1807,0.6667,3.0000
72368,6.0000,1.0000,0.0000,0.0000,�,�,�,1.0000,0.0000
434360,9.3333,5.9444,2.1111,0.2222,0.1838,0.0922,0.0377,0.6111,1.0556
228425,15.6667,6.6667,6.0000,1.6667,0.1283,0.0627,0.0000,2.6667,1.3333
59432,9.2500,2.5000,2.0000,0.7500,0.0000,0.0000,0.0000,1.0000,0.5000
19958,9.3846,7.4615,3.6923,0.6154,0.1241,0.0565,0.0302,0.7692,1.0000
346422,11.0000,7.0000,1.5000,0.2500,0.2811,0.0921,0.0000,0.5000,2.0000
379346,15.0000,7.0000,6.0000,2.0000,�,�,�,2.0000,2.0000
9668,12.7500,6.2500,4.2500,0.5000,0.2089,0.1119,0.0556,0.5000,0.5000
41493,10.3333,5.0000,3.6667,0.6667,0.1133,0.0556,0.0714,2.0000,1.0000
477167,12.8333,9.0000,4.0000,1.5000,0.1315,0.0252,0.0000,0.6667,1.3333
46384,13.6667,8.0000,4.7778,1.7778,0.2260,0.0796,0.0304,1.2222,1.7778
288001,9.2500,4.2500,2.2500,0.2500,0.1472,0.1267,0.0667,0.0000,0.5000
285922,9.6667,2.0000,2.6667,0.6667,0.2999,0.2778,0.1667,0.6667,0.0000
178814,10.8000,6.4000,3.2000,0.4000,0.2175,0.1203,0.0503,1.1000,0.6000
214743,12.7500,5.8750,5.3750,0.5000,0.2876,0.1186,0.0383,0.7500,1.3750
334820,10.5000,6.7500,2.2500,0.2500,0.1774,0.0515,0.0556,0.2500,0.7500
452835,10.3333,6.0000,3.6667,0.3333,0.2205,0.0962,0.0455,1.3333,0.0000
355784,14.2857,8.8571,7.5714,2.0000,0.2277,0.1289,0.1222,3.0000,0.8571
512327,12.3333,6.6667,5.0000,0.6667,0.0407,0.0392,0.0000,0.6667,2.6667
318581,12.0000,8.0000,4.6667,0.6667,0.1338,0.0571,0.1534,2.0000,1.6667
7450,14.0000,5.6667,4.6667,0.6667,0.0646,0.0469,0.0000,0.3333,1.0000
398907,14.6250,8.2500,3.2500,0.7500,0.1565,0.0717,0.0643,0.8750,1.5000
103178,12.0000,5.0000,3.0000,0.6667,0.3043,0.1468,0.0667,1.0000,1.3333
322201,11.0000,7.5000,2.0000,1.0000,0.0661,0.0385,0.0833,2.5000,1.5000
486151,10.6667,2.6667,3.0000,0.3333,0.0000,0.0000,0.0000,0.6667,0.3333
421290,12.3750,9.5000,3.5000,0.5000,0.1822,0.0915,0.0514,1.1250,0.3750
508328,9.6667,5.7778,2.1667,0.3333,0.2105,0.1063,0.0216,0.3333,1.2778
5081,13.8000,7.5000,6.4000,1.2000,0.2242,0.1406,0.1343,1.7000,0.5000
91546,13.2500,11.5000,4.0000,0.2500,0.2091,0.1147,0.0992,1.5000,0.7500
10907,15.0000,7.0000,7.5000,0.0000,0.2005,0.0769,0.0833,0.0000,1.5000
257739,9.7368,4.1053,2.2105,0.2105,0.1934,0.1072,0.0672,0.5789,0.4211
209385,8.6667,2.6667,1.6667,0.3333,0.2292,0.1500,0.3333,1.0000,0.0000
216648,7.5000,1.5000,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000
441103,17.5000,10.5000,6.2500,2.7500,0.2010,0.0906,0.0747,2.7500,1.5000
159461,11.0000,6.0000,3.4286,0.7143,0.1204,0.0519,0.0370,1.0000,0.5714
125563,17.0000,15.0000,5.3333,2.3333,0.1618,0.0787,0.1635,1.3333,0.6667
270215,13.5000,6.5000,4.5000,1.2500,0.3348,0.1932,0.1667,1.0000,1.2500
47316,12.0000,5.4000,4.6000,0.6000,0.1101,0.0652,0.0500,1.6000,1.0000
225519,14.1250,9.6250,4.6250,1.3750,0.1925,0.1372,0.1404,2.8750,0.7500
98121,17.0000,7.0000,4.5000,1.0000,0.2010,0.1667,0.4286,1.0000,1.0000
517285,13.5000,8.1000,5.6000,1.2000,0.2325,0.1312,0.0488,1.1000,1.3000
214214,11.0000,11.0000,3.5000,1.5000,0.0000,0.0000,0.0000,2.0000,0.0000
149745,12.0000,5.2000,4.0000,1.2000,0.2830,0.1815,0.2861,2.2000,0.4000
459857,13.8000,7.2000,4.5000,0.7000,0.1540,0.0831,0.0346,1.0000,0.9000
163075,14.0000,6.5000,3.5000,0.5000,0.2018,0.0385,0.0000,1.0000,1.5000
519549,12.8889,7.6667,6.0000,1.3333,0.2729,0.1643,0.0708,2.1111,1.0000
526823,8.0000,4.0000,1.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
288525,16.1250,10.3750,5.8750,2.0000,0.2091,0.0847,0.0143,1.5000,1.3750
336085,10.3333,4.6667,2.3333,0.3333,0.2482,0.0882,0.0000,1.3333,1.3333
280325,10.1111,5.3333,2.3333,0.5556,0.1327,0.0955,0.0679,0.8889,0.5556
363648,12.0000,6.7778,3.4444,0.6667,0.1014,0.0685,0.0357,1.0000,0.5556
413543,10.0000,4.1429,3.8571,0.2857,0.2946,0.1513,0.1852,1.0000,0.7143
517055,12.0000,7.6667,4.0000,1.3333,0.2718,0.1304,0.0500,1.0000,1.3333
446120,9.8571,4.4286,1.8571,0.8571,0.1030,0.0417,0.0000,0.8571,0.4286
461133,12.6667,6.6667,2.0000,1.3333,0.1880,0.1316,0.0714,0.0000,0.0000
454979,10.0000,5.4615,3.5385,1.0769,0.1069,0.0586,0.0361,1.7692,0.1538
37378,11.4000,7.0000,3.4000,0.4000,0.2642,0.1940,0.1777,1.2000,1.2000
44797,8.8333,3.0000,2.8333,0.5000,0.1186,0.0916,0.0833,0.5000,1.0000
345524,13.8889,9.8889,5.8889,0.6667,0.2028,0.0991,0.0976,0.7778,1.4444
371081,11.0000,6.0000,2.0000,1.0000,�,�,�,1.0000,1.0000
476684,14.6667,8.1667,6.6667,1.1667,0.1616,0.0888,0.0000,1.6667,0.6667
8701,8.5000,3.7500,2.0000,0.2500,0.1986,0.0810,0.1389,0.7500,0.5000
312407,15.8889,13.4444,5.6667,1.4444,0.3212,0.1671,0.0644,1.7778,2.2222
363128,14.5000,14.5000,6.0000,0.0000,0.0885,0.0185,0.0000,0.0000,2.0000
343897,11.5000,6.5000,3.5000,0.0000,0.0183,0.0476,0.0000,1.5000,0.0000
196768,11.5000,3.5000,5.0000,0.0000,0.1201,0.0500,0.0000,0.0000,1.0000
399406,15.8333,7.1667,9.1667,2.1667,0.2663,0.1410,0.1632,2.1667,0.8333
10478,10.0000,6.0000,2.0000,1.0000,0.2054,0.1250,0.0000,1.0000,0.5000
244227,10.0000,5.0000,1.0000,0.0000,�,�,�,1.0000,1.0000
68167,9.0000,6.0000,1.0000,0.0000,�,�,�,0.0000,0.0000
519323,10.5000,5.5000,2.0000,0.0000,0.4093,0.1333,0.0000,0.5000,2.5000
261877,15.0000,8.0000,5.0000,0.0000,�,�,�,2.0000,2.0000
86087,10.0000,5.6667,2.6667,0.6667,0.2524,0.1111,0.0000,0.6667,0.0000
28465,12.1250,5.7500,3.1250,1.3750,0.1595,0.1038,0.0561,1.1250,0.6250
312581,14.1429,10.5714,4.1429,1.0000,0.1807,0.0807,0.0588,0.2857,1.7143
429995,7.0000,3.0000,1.0000,0.0000,�,�,�,1.0000,0.0000
450777,15.5000,5.5000,5.5000,2.0000,0.0537,0.0435,0.0000,1.0000,1.0000
458842,14.0000,7.2000,4.6000,2.0000,0.1391,0.0776,0.0833,1.6000,1.0000
289122,11.0000,6.3333,4.6667,1.0000,0.2191,0.0833,0.0000,0.6667,1.6667
522918,15.3333,6.3333,8.6667,2.0000,0.2159,0.2153,0.1429,2.6667,0.3333
145331,10.0000,6.0000,3.0000,1.0000,�,�,�,3.0000,0.0000
429317,14.9167,8.4167,6.7500,1.1667,0.2274,0.0983,0.0505,0.7500,0.6667
247851,7.0000,3.5714,1.5714,0.1429,0.0478,0.0278,0.0000,0.2857,0.7143
340350,10.2500,7.0000,2.5000,0.5000,0.2666,0.0953,0.0476,2.2500,1.5000
287395,15.6667,7.3333,9.3333,2.0000,0.3353,0.2000,0.3333,1.6667,0.6667
428684,15.7778,7.3333,5.7778,1.7778,0.2634,0.1480,0.1212,2.0000,0.6667
27842,13.4167,9.0000,4.8333,0.6667,0.2721,0.1614,0.0740,1.0833,0.7500
165182,10.5000,6.2500,2.8750,0.6250,0.1559,0.0728,0.0159,0.3750,1.0000
183862,13.0000,7.0000,4.0000,0.0000,�,�,�,3.0000,1.0000
350995,10.8000,4.6000,3.6000,0.4000,0.1069,0.0474,0.0357,2.0000,0.2000
373209,7.3333,3.0000,2.0000,0.0000,0.0854,0.0667,0.0000,0.0000,0.3333
436933,13.8182,10.5455,4.9091,1.0000,0.2878,0.1215,0.0497,2.0909,2.0000
333345,9.8000,6.0000,3.6000,0.0000,0.1165,0.0441,0.0250,1.0000,0.6000
524770,11.4000,6.2000,2.2000,0.4000,0.1377,0.0852,0.0312,1.0000,0.4000
406163,12.5000,6.3750,3.1250,0.5000,0.2071,0.0985,0.0893,0.8750,1.1250
408247,13.3333,6.1111,5.1111,1.3333,0.2498,0.0733,0.0579,1.2222,0.7778
20278,15.0000,5.0000,5.0000,2.0000,�,�,�,1.0000,0.0000
334901,18.8000,9.2000,6.0000,2.2000,0.2204,0.1348,0.1181,1.8000,1.2000
191768,9.7143,4.0000,2.2857,0.5714,0.0519,0.0222,0.0278,0.7143,0.2857
368135,10.5000,5.7500,3.6250,0.3750,0.3665,0.1583,0.0934,1.2500,1.8750
413909,12.0000,5.0000,4.7500,0.5000,0.2842,0.1359,0.0833,0.7500,1.2500
456131,9.6667,3.3333,2.6667,0.3333,0.0660,0.0500,0.0000,0.3333,0.3333
118408,11.0000,10.0000,1.0000,0.5000,0.4097,0.1364,0.0000,0.0000,1.0000
182281,9.0000,7.0000,3.0000,0.0000,�,�,�,2.0000,1.0000
392759,11.7500,8.7500,2.7500,0.7500,0.1504,0.0996,0.0606,0.7500,1.2500
534401,12.3333,8.0000,4.6667,0.3333,0.0543,0.0477,0.0000,1.0000,0.3333
487919,8.5000,4.5000,1.5000,0.0000,0.2599,0.1875,0.0000,0.5000,1.0000
490494,10.0000,6.0000,4.0000,1.0000,�,�,�,0.0000,1.0000
259227,9.5000,4.5000,1.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.5000
397357,12.0000,5.8000,3.2000,0.8000,0.1254,0.0777,0.0317,1.2000,1.1000
395700,7.5000,3.5000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
314406,10.5000,4.0000,2.5000,1.0000,0.2457,0.0769,0.0000,1.5000,0.5000
236387,11.4286,6.2857,5.5714,1.0000,0.2128,0.1399,0.0604,1.8571,1.0000
225935,9.5000,3.8750,3.7500,0.3750,0.2868,0.1514,0.1952,1.1250,0.7500
224317,11.6000,5.0000,3.8000,1.2000,0.1486,0.1346,0.1250,0.6000,0.8000
350152,11.6000,8.0000,5.2000,0.4000,0.1108,0.0387,0.0192,1.0000,1.0000
283658,8.2500,1.0000,2.2500,0.2500,0.0906,0.0606,0.0000,0.2500,0.2500
401490,7.0000,3.6667,1.0000,0.3333,0.0000,0.0000,0.0000,0.3333,0.0000
18105,13.2500,4.0000,4.2500,0.5000,0.2799,0.1971,0.1667,0.7500,0.2500
368136,15.0000,11.0000,5.0000,2.0000,�,�,�,5.0000,3.0000
411629,14.8000,8.4000,4.0000,1.2000,0.3341,0.1469,0.0556,1.2000,2.0000
265256,9.6000,3.4000,2.2000,0.6000,0.0655,0.0333,0.0000,1.4000,0.6000
127972,32.0000,34.0000,22.0000,9.0000,�,�,�,8.0000,3.0000
344730,8.6154,3.5385,2.6923,0.6154,0.1688,0.1057,0.0306,0.9231,0.3846
25616,14.4000,7.8000,5.6000,1.4000,0.1658,0.1121,0.1611,2.0000,0.8000
151690,19.5000,10.0000,8.0000,2.0000,0.4072,0.3667,0.1111,1.5000,1.0000
50953,14.1111,7.3333,4.4444,1.3333,0.1914,0.0988,0.0625,1.5556,1.0000
135927,15.3750,8.0000,6.3750,1.2500,0.1655,0.0784,0.0702,2.2500,0.8750
500359,13.7500,9.2500,3.0000,1.5000,0.2163,0.0938,0.0833,1.2500,0.7500
504413,11.0000,6.0000,2.0000,1.0000,�,�,�,1.0000,1.0000
140447,10.6667,6.8333,2.8333,1.1667,0.0024,0.0074,0.0167,0.5000,1.0000
175539,16.5000,8.7500,6.2500,2.0000,0.2132,0.1000,0.0725,2.0000,1.5000
80290,16.0000,6.2500,5.0000,1.0000,0.1933,0.0753,0.0476,1.5000,0.5000
249975,12.3333,6.6667,5.0000,0.3333,0.2195,0.1418,0.0000,2.0000,0.0000
55111,10.3636,3.9091,3.0000,0.7273,0.1232,0.0827,0.0541,1.1818,0.3636
282918,13.0000,7.6667,4.3333,1.6667,0.1081,0.0500,0.0000,2.3333,0.3333
248777,16.0000,14.0000,9.3333,2.0000,0.3606,0.2143,0.2019,3.0000,3.0000
247067,14.0000,6.3333,5.6667,1.3333,0.1504,0.0952,0.1250,1.6667,0.3333
532716,12.0000,5.6667,3.3333,1.1667,0.1358,0.0658,0.0286,1.1667,1.1667
368917,10.8750,6.1250,2.3750,0.3750,0.0707,0.0390,0.0102,0.3750,1.1250
176909,9.5833,4.3333,2.7500,0.3333,0.0928,0.0484,0.1326,1.6667,0.2500
175183,8.7000,7.6000,1.7000,0.2000,0.1895,0.1077,0.0977,0.7000,1.3000
40065,9.5000,5.0000,3.0000,0.5000,0.0978,0.0526,0.0000,2.5000,0.5000
273576,10.1250,4.5000,2.7500,0.8750,0.0956,0.0576,0.0000,0.5000,0.6250
135150,15.6000,7.8000,6.6000,1.6000,0.2756,0.1666,0.0774,1.2000,1.0000
171599,13.6000,8.0000,4.0000,1.1000,0.1388,0.1021,0.0606,0.9000,0.7000
506614,13.5000,6.5000,4.0000,0.7500,0.1546,0.0800,0.0000,0.7500,1.5000
503708,11.9000,7.1000,4.6000,0.5000,0.1416,0.0708,0.0381,0.6000,1.1000
3566,13.7500,15.5000,4.2500,0.5000,0.2559,0.1156,0.2222,2.0000,1.5000
108220,13.0000,9.0000,5.0000,1.5000,0.2110,0.1026,0.0000,0.5000,1.0000
92876,10.1250,4.6250,2.7500,0.7500,0.1231,0.0837,0.0408,1.1250,1.0000
263873,11.8333,5.1667,3.6667,1.0000,0.0838,0.0604,0.0000,0.8333,0.6667
213069,9.1667,4.5833,1.9167,0.6667,0.1021,0.0376,0.0455,1.5000,0.5833
2139,13.3333,14.0000,6.3333,1.3333,0.1812,0.0429,0.0000,1.0000,1.3333
50737,13.0000,8.0000,5.0000,0.6667,0.2541,0.0571,0.0000,2.0000,0.6667
394470,15.2222,9.3333,5.0000,1.3333,0.2653,0.1379,0.0729,1.0000,1.7778
136200,12.5000,6.7500,2.7500,0.7500,0.1627,0.0937,0.0000,1.7500,0.5000
148457,12.1111,7.8889,4.4444,1.3333,0.1763,0.0827,0.0409,1.7778,1.1111
255472,14.7500,11.0000,7.0000,1.2500,0.0800,0.0321,0.0000,1.5000,1.0000
251725,11.4286,5.2857,5.1429,0.8571,0.3246,0.1449,0.1561,2.8571,0.2857
68456,14.0000,9.0000,3.0000,0.0000,�,�,�,3.0000,1.0000
402612,10.8571,4.4286,3.2857,0.5714,0.0562,0.0504,0.0556,0.8571,0.4286
469446,15.3333,8.3333,8.3333,1.3333,0.3072,0.1785,0.1875,3.6667,0.6667
310945,26.0000,24.0000,4.0000,2.0000,�,�,�,0.0000,6.0000
100718,15.2500,9.2500,6.7500,2.5000,0.3567,0.1623,0.1574,3.5000,0.5000
412029,10.0000,6.0000,3.0000,2.0000,�,�,�,4.0000,0.0000
175844,12.6667,7.0000,3.3333,1.3333,0.1691,0.1027,0.0625,1.0000,1.3333
275378,9.5714,4.8571,2.0000,0.4286,0.1552,0.0936,0.0516,1.0000,0.5714
193500,14.3333,6.6667,6.6667,1.6667,0.1358,0.0861,0.0714,2.0000,0.3333
16574,9.8889,6.2778,2.2778,0.3889,0.2747,0.1045,0.0752,0.3889,0.8889
87701,14.0000,5.0000,4.0000,2.0000,�,�,�,2.0000,0.0000
14692,9.7778,5.4444,3.1111,0.5556,0.1349,0.0867,0.0868,1.5556,0.3333
159582,10.0000,3.6000,3.4000,0.6000,0.2475,0.0683,0.0000,0.2000,1.6000
227039,9.4000,3.8000,2.6000,0.2000,0.0491,0.0263,0.0000,1.0000,0.2000
237442,11.3333,5.8333,3.6667,0.5000,0.2230,0.1879,0.0222,0.6667,0.6667
498004,9.9000,4.6000,3.2000,0.6000,0.1018,0.0627,0.0658,1.2500,0.5500
115585,14.6667,7.5000,4.5000,1.5000,0.1108,0.0762,0.0182,1.6667,0.6667
205557,13.7500,8.5000,5.7500,2.5000,0.2355,0.1514,0.1603,1.5000,1.2500
264481,14.8750,10.2500,4.2500,1.2500,0.2299,0.1166,0.0300,2.0000,1.5000
386052,10.0000,3.0000,3.0000,1.0000,�,�,�,0.0000,0.0000
176808,11.5000,3.5000,4.5000,0.5000,0.1182,0.0455,0.1667,1.5000,0.0000
50182,14.3333,9.0000,5.0000,2.0000,0.1563,0.0435,0.0000,0.3333,1.3333
375145,11.6667,5.6667,3.6667,0.8333,0.1325,0.0622,0.0286,1.8333,1.0000
170167,13.0909,7.1818,4.4545,2.1818,0.2077,0.0895,0.0510,2.0000,0.3636
55369,13.8182,10.2727,4.3636,1.4545,0.2163,0.0913,0.0818,1.3636,1.2727
298144,12.6000,8.3000,5.8000,1.3000,0.1766,0.0840,0.1055,2.2000,1.5000
98457,7.7500,1.7500,2.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.2500
269579,10.5000,5.2500,3.2500,0.2500,0.0829,0.0526,0.0000,0.7500,0.2500
342870,11.3333,4.3333,3.3333,0.0000,0.1784,0.1148,0.0000,0.6667,0.3333
386193,14.6667,10.3333,5.6667,2.6667,0.2379,0.1389,0.1623,2.0000,1.0000
138297,7.4000,3.4000,2.0000,0.0000,0.3536,0.1908,0.0000,0.4000,0.0000
276274,13.7143,8.0000,4.1429,1.4286,0.3067,0.1791,0.1223,1.7143,0.4286
390068,11.3125,6.8750,3.4375,1.1875,0.2759,0.1348,0.1428,1.5625,1.7500
498537,9.6000,6.0000,3.0000,0.5000,0.1104,0.0614,0.0370,0.7000,0.8000
323735,7.0000,2.5000,0.7500,0.0000,0.0824,0.0278,0.0000,0.5000,0.0000
343443,8.0000,2.0000,2.0000,0.0000,�,�,�,0.0000,0.0000
271280,12.1000,7.6000,4.3000,0.8000,0.2101,0.1083,0.0370,1.9000,1.4000
277190,14.0000,12.1429,4.7143,0.5714,0.2828,0.0822,0.0139,0.2857,1.4286
289525,24.6667,16.6667,7.6667,3.0000,0.5436,0.2293,0.1709,3.0000,3.3333
199797,13.6000,8.2000,3.8000,1.0000,0.1534,0.1020,0.0590,1.4000,0.8000
242037,9.5000,5.3333,2.0833,0.5833,0.0971,0.0431,0.0182,0.2500,0.7500
264032,13.2000,9.5000,4.3000,1.1000,0.2058,0.0930,0.0261,1.4000,1.3000
506940,13.5000,8.5000,5.5000,1.5000,0.2642,0.0638,0.0714,2.0000,3.0000
40196,12.7273,7.6364,5.2727,1.0909,0.1442,0.0708,0.1243,2.5455,0.7273
13871,12.3333,7.1667,4.5000,1.5000,0.2163,0.0860,0.0118,0.6667,1.1667
175894,12.0000,7.3750,4.5000,0.6250,0.1660,0.0679,0.0696,0.8750,1.0000
262868,10.7778,5.2222,3.2778,0.3889,0.1886,0.1016,0.0521,0.7778,1.1111
329096,14.2500,8.0000,4.0000,1.2500,0.1829,0.1153,0.1763,1.5000,0.7500
120575,14.6667,5.3333,5.3333,1.3333,0.1849,0.0993,0.0000,0.6667,0.6667
352828,14.5000,8.5000,6.0000,3.0000,0.1828,0.1923,0.1250,1.5000,0.0000
521411,11.8000,5.3000,3.4000,0.8000,0.1556,0.1067,0.0741,1.1000,0.5000
320395,8.0000,5.0000,1.0000,0.0000,�,�,�,1.0000,0.0000
525506,12.0000,5.5000,4.5000,0.5000,0.3566,0.1176,0.0000,0.5000,3.0000
365847,8.5000,4.0000,1.5000,0.5000,0.0000,0.0000,0.0000,0.7500,0.2500
269368,14.8333,9.3333,3.8333,1.1667,0.2150,0.0917,0.0000,1.1667,0.8333
475331,8.0000,3.2500,2.5000,0.2500,0.0488,0.0238,0.0417,2.0000,0.7500
63738,9.5000,5.5000,5.0000,0.5000,0.0677,0.0417,0.0000,1.5000,0.0000
463109,14.0000,8.4444,5.5556,1.5556,0.2210,0.1163,0.1703,2.0000,1.1111
504404,11.8462,6.6154,4.0000,0.6923,0.1913,0.1181,0.0786,1.7692,0.7692
421222,15.0000,13.0000,7.3333,2.3333,0.3546,0.2417,0.0889,1.3333,1.3333
65458,15.4000,9.0000,4.0000,1.4000,0.2653,0.0860,0.0278,0.8000,1.2000
265115,17.0000,9.0000,3.0000,2.0000,�,�,�,1.0000,0.0000
393032,18.5000,9.5000,5.5000,1.0000,0.3059,0.0968,0.0000,1.5000,0.0000
280334,12.1667,4.6667,3.8333,0.6667,0.0814,0.0660,0.0800,0.6667,0.0000
377384,13.0000,7.3333,4.2222,1.1111,0.2001,0.1201,0.0638,1.8889,0.8889
12774,12.8333,7.7500,5.3333,1.4167,0.1190,0.0505,0.0323,1.9167,0.6667
91349,15.0000,7.5714,6.2857,1.2857,0.2625,0.1889,0.0851,0.8571,1.5714
101104,8.0000,2.5000,2.0000,0.5000,0.0000,0.0000,0.0000,0.5000,1.5000
72874,9.3333,11.3333,5.0000,0.3333,0.0000,0.0000,0.0000,0.3333,1.0000
258543,12.8750,7.0000,4.2500,1.0000,0.1367,0.0929,0.0733,0.3750,0.6250
480344,16.2222,11.1111,6.1111,1.4444,0.2538,0.0857,0.0345,1.3333,2.5556
31246,11.3571,7.5714,3.1429,0.6429,0.2265,0.1315,0.0833,0.4286,0.7143
348709,13.0000,2.0000,4.5000,1.5000,0.0000,0.0000,0.0000,1.0000,0.5000
185472,12.5000,8.0000,5.5000,1.0000,0.1802,0.0571,0.0000,3.0000,0.5000
214843,12.7500,7.0000,4.2500,1.1250,0.1580,0.0620,0.0424,1.7500,0.1250
70985,12.5000,11.0000,5.8750,1.3750,0.2114,0.0846,0.0716,0.7500,1.5000
125191,12.5000,6.5000,4.0000,1.5000,0.0858,0.0556,0.0000,1.5000,0.5000
264245,10.1429,5.5714,2.2857,0.5714,0.1484,0.0678,0.0000,0.2857,0.8571
132689,13.7778,7.7778,5.6667,1.4444,0.2034,0.1195,0.1290,1.8889,1.0000
37977,13.0000,7.6667,5.3333,1.0000,0.2888,0.1627,0.1405,2.0000,1.1667
411175,13.0000,7.0000,5.0000,0.5000,0.0000,0.0000,0.0000,1.0000,1.0000
519502,10.5000,6.0000,2.6667,0.5000,0.1667,0.1089,0.1516,2.1667,0.1667
398623,14.5714,8.4286,5.1429,1.1429,0.1781,0.0682,0.0139,1.4286,1.5714
82589,10.7500,7.3750,3.7500,0.5000,0.2212,0.1098,0.1250,1.2500,0.6250
510799,11.0000,6.0000,5.0000,0.0000,�,�,�,0.0000,1.0000
349742,13.2000,17.0000,4.2000,0.4000,0.1224,0.1118,0.1250,0.4000,0.4000
506755,8.0000,4.0000,1.0000,0.0000,0.1939,0.0833,0.0000,0.0000,1.0000
129185,13.4286,7.2857,4.5714,1.0000,0.2391,0.1102,0.0000,1.1429,1.4286
357330,13.8333,7.8333,5.8333,1.0000,0.3261,0.1668,0.0872,1.8333,2.1667
184591,14.5000,4.5000,4.0000,0.5000,0.0000,0.0000,0.0000,0.5000,0.5000
299471,13.0000,8.3333,3.3333,1.0000,0.1187,0.0577,0.0556,1.3333,0.3333
179391,13.0000,4.0000,2.0000,1.5000,0.4345,0.1538,0.2000,0.0000,0.5000
178902,11.6000,4.6000,4.2000,0.8000,0.1985,0.0755,0.0682,1.4000,0.4000
